DATAFLOW,MEASURE,INDEX,SECTOR,INDUSTRY,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,BASE_PERIOD,OBS_STATUS,OBS_COMMENT
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2016-Q2,2,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2016-Q3,1.7,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2016-Q4,1.9,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2017-Q1,1.5,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2017-Q2,2.2,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2017-Q3,2.2,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2017-Q4,2.1,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2018-Q1,2.6,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2018-Q2,2.5,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2018-Q3,2.7,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2018-Q4,2.8,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2019-Q1,2.6,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2019-Q2,2.5,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2019-Q3,2.8,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2019-Q4,2.2,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2020-Q1,2,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2020-Q2,1.7,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2020-Q3,1,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2020-Q4,1.3,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2021-Q1,1.8,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2021-Q2,1.9,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2021-Q3,2.1,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2021-Q4,2.8,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2022-Q1,2.4,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2022-Q2,3.1,,,,
