DATAFLOW,MEASURE,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2019-Q1,685,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2019-Q2,700,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2019-Q3,705,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2019-Q4,760,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2020-Q1,730,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2020-Q2,720,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2020-Q3,710,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2020-Q4,760,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2021-Q1,800,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2021-Q2,830,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2021-Q3,840,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2021-Q4,940,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2022-Q1,888,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2022-Q2,900,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2022-Q3,850,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2022-Q4,875,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2023-Q1,835,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2023-Q2,840.3,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2023-Q3,832,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2023-Q4,865,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2024-Q1,845,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2024-Q2,845,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2024-Q3,825,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2024-Q4,850,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2025-Q1,835,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2025-Q2,840,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2025-Q3,845.3,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2025-Q4,892,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2026-Q1,850,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2002-Q1,123.3,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2002-Q2,117,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2002-Q3,124,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2002-Q4,128,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2003-Q1,145,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2003-Q2,149,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2003-Q3,165,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2003-Q4,182.3,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2004-Q1,200,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2004-Q2,225,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2004-Q3,230,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2004-Q4,237.3,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2005-Q1,240,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2005-Q2,250,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2005-Q3,245,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2005-Q4,252.5,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2006-Q1,260,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2006-Q2,270,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2006-Q3,270,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2006-Q4,278,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2007-Q1,280,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2007-Q2,291.5,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2007-Q3,285,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2007-Q4,310,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2008-Q1,308.5,,,,
